,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_k,param_sim_options,model,param_n_epochs,param_lr_all,param_reg_all,param_biased
0,1.7018053140378182,1.6982433344673709,1.706809490796423,1.7022860464338707,0.0035136008396801084,66,1.300959274584657,1.3005623022703834,1.3064035903544422,1.3026417224031608,0.002664974623610664,63,5.477930784225464,0.4615743414498936,0.5630156199137369,0.03588116933673379,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 0}}",101.0,"{'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 0}",KNNBasic,,,,
1,1.7018053140378182,1.6982433344673709,1.706809490796423,1.7022860464338707,0.0035136008396801084,64,1.300959274584657,1.3005623022703834,1.3064035903544422,1.3026417224031608,0.002664974623610664,61,5.911726792653401,0.7838645318429822,0.5211453437805176,0.006563633665120342,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 10}}",101.0,"{'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 10}",KNNBasic,,,,
2,1.7018053140378182,1.6982433344673709,1.706809490796423,1.7022860464338707,0.0035136008396801084,65,1.300959274584657,1.3005623022703834,1.3064035903544422,1.3026417224031608,0.002664974623610664,62,5.175410509109497,0.4774691104258125,0.5656563440958658,0.0508073487327706,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 100}}",101.0,"{'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 100}",KNNBasic,,,,
3,1.7002911651560229,1.6952343499051157,1.7065710353012227,1.7006988501207871,0.004637151727475785,30,1.2993517755885677,1.2988574988227652,1.3046842253491882,1.3009644999201737,0.002637972116449243,30,6.489678064982097,0.8596388714875494,2.7952870527903237,1.1345766737862941,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': True, 'shrinkage': 0}}",101.0,"{'name': 'pearson', 'min_support': 5, 'user_based': True, 'shrinkage': 0}",KNNBasic,,,,
4,1.7002911651560229,1.6952343499051157,1.7065710353012227,1.7006988501207871,0.004637151727475785,29,1.2993517755885677,1.2988574988227652,1.3046842253491882,1.3009644999201737,0.002637972116449243,28,6.821146567662557,0.7952977888199386,2.5875558853149414,0.8738969026871953,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': True, 'shrinkage': 10}}",101.0,"{'name': 'pearson', 'min_support': 5, 'user_based': True, 'shrinkage': 10}",KNNBasic,,,,
5,1.7002911651560229,1.6952343499051157,1.7065710353012227,1.7006988501207871,0.004637151727475785,28,1.2993517755885677,1.2988574988227652,1.3046842253491882,1.3009644999201737,0.002637972116449243,29,6.8200851281483965,0.905454096467097,2.687701861063639,0.9994214543447606,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': True, 'shrinkage': 100}}",101.0,"{'name': 'pearson', 'min_support': 5, 'user_based': True, 'shrinkage': 100}",KNNBasic,,,,
6,1.7020502510398174,1.697645065275882,1.7052111755291466,1.7016354972816152,0.003102743044586572,47,1.3010985407722713,1.3001308533761582,1.3046728393341829,1.3019674111608708,0.001953392079582275,53,5.284456968307495,1.0279452207835569,0.5341216723124186,0.03305113960413767,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 10, 'user_based': False, 'shrinkage': 0}}",101.0,"{'name': 'pearson', 'min_support': 10, 'user_based': False, 'shrinkage': 0}",KNNBasic,,,,
7,1.7020502510398174,1.697645065275882,1.7052111755291466,1.7016354972816152,0.003102743044586572,46,1.3010985407722713,1.3001308533761582,1.3046728393341829,1.3019674111608708,0.001953392079582275,52,5.359273115793864,0.5202053588572704,0.9019822279612223,0.23988787896552052,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 10, 'user_based': False, 'shrinkage': 10}}",101.0,"{'name': 'pearson', 'min_support': 10, 'user_based': False, 'shrinkage': 10}",KNNBasic,,,,
8,1.7020502510398174,1.697645065275882,1.7052111755291466,1.7016354972816152,0.003102743044586572,48,1.3010985407722713,1.3001308533761582,1.3046728393341829,1.3019674111608708,0.001953392079582275,54,4.798970778783162,0.129587932006876,0.7204482555389404,0.2871996853511998,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 10, 'user_based': False, 'shrinkage': 100}}",101.0,"{'name': 'pearson', 'min_support': 10, 'user_based': False, 'shrinkage': 100}",KNNBasic,,,,
9,1.6956413953944272,1.69255155343637,1.7013261977860545,1.696506382205617,0.003634074618891982,18,1.2960940275244086,1.297386337097974,1.300802559242047,1.2980943079548097,0.0019863676706655935,17,7.960469325383504,0.4269352183363748,3.1124451955159507,1.0375177896813552,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 10, 'user_based': True, 'shrinkage': 0}}",101.0,"{'name': 'pearson', 'min_support': 10, 'user_based': True, 'shrinkage': 0}",KNNBasic,,,,
