,BGGId,Rating,reducedUsername
0,293981,9.206003864156687,angomert
1,285853,8.951273021857784,angomert
2,249277,8.848000154203286,angomert
3,299566,8.799795631107457,angomert
4,336849,8.76651919070347,angomert
5,228399,8.728298576024688,angomert
6,228370,8.721533554285287,angomert
7,33434,8.716957961880496,angomert
8,317434,8.687830758968733,angomert
9,289247,8.641966577683162,angomert
10,21358,8.63976098946695,angomert
11,300217,8.630633254780538,angomert
12,302312,8.604089290302237,angomert
13,214296,8.5996476419903,angomert
14,281257,8.584290197436909,angomert
15,253607,8.575047045336333,angomert
16,284121,8.565675604035018,angomert
17,317030,8.508314204728315,angomert
18,317519,8.47892211268253,angomert
19,236332,8.473433704935754,angomert
