,BGGId,Rating,reducedUsername
0,293981,8.394039843330168,apokorn3
1,285853,8.07439126772993,apokorn3
2,302312,8.055082830098474,apokorn3
3,336849,8.003200201252817,apokorn3
4,249277,7.988327994772779,apokorn3
5,284121,7.943756275502885,apokorn3
6,228370,7.909341818186183,apokorn3
7,228399,7.907635850988296,apokorn3
8,289247,7.898209515155448,apokorn3
9,33434,7.881763867861801,apokorn3
10,317519,7.8772054827257305,apokorn3
11,317434,7.871666247710076,apokorn3
12,299566,7.866298722889338,apokorn3
13,253607,7.843238539424835,apokorn3
14,345976,7.812571060088108,apokorn3
15,283474,7.811009085565208,apokorn3
16,214296,7.810561719536381,apokorn3
17,226237,7.78581844782676,apokorn3
18,18529,7.781587882468402,apokorn3
19,310100,7.759658666332305,apokorn3
