,BGGId,Rating,reducedUsername
0,293981,8.334191019518975,Airidal
1,285853,8.095617801712292,Airidal
2,336849,8.054809957899755,Airidal
3,228370,7.986392552271349,Airidal
4,302312,7.955061389738243,Airidal
5,249277,7.872296758293175,Airidal
6,299566,7.859246973883399,Airidal
7,300217,7.804249598608791,Airidal
8,281257,7.774288193713504,Airidal
9,253607,7.763696370336821,Airidal
10,21358,7.7546726177851735,Airidal
11,173504,7.75177024965945,Airidal
12,228399,7.751103033790797,Airidal
13,33434,7.750121411553191,Airidal
14,317434,7.727732234257923,Airidal
15,317519,7.6834331844105055,Airidal
16,316080,7.6291029461724555,Airidal
17,293835,7.626989760180975,Airidal
18,252165,7.610779496573803,Airidal
19,236332,7.609009759856804,Airidal
