,BGGId,Rating,reducedUsername
0,293981,9.029488559144022,aopisa
1,285853,8.811078408785715,aopisa
2,336849,8.80591638221627,aopisa
3,299566,8.800121499320046,aopisa
4,33434,8.71400200729524,aopisa
5,302312,8.712030807328118,aopisa
6,249277,8.711502231516505,aopisa
7,228399,8.646588375436666,aopisa
8,228370,8.642855716274303,aopisa
9,289247,8.547207513085315,aopisa
10,284121,8.519765992654609,aopisa
11,253607,8.51659419059677,aopisa
12,173504,8.497166580741252,aopisa
13,300217,8.495920979287366,aopisa
14,21358,8.495332394220304,aopisa
15,214296,8.487410064961187,aopisa
16,317434,8.482437103597489,aopisa
17,281257,8.475374946762951,aopisa
18,248375,8.473640458079263,aopisa
19,317519,8.467476079306621,aopisa
