,BGGId,Rating,reducedUsername
0,293981,8.921430861382706,balticsea
1,299566,8.818985789884653,balticsea
2,285853,8.779215950158578,balticsea
3,302312,8.730648370355576,balticsea
4,336849,8.636905848566215,balticsea
5,173504,8.633536630722244,balticsea
6,33434,8.62941281904669,balticsea
7,253607,8.536019129933722,balticsea
8,228399,8.52916398109067,balticsea
9,249277,8.525262372280148,balticsea
10,21358,8.52061974442372,balticsea
11,228370,8.513710428058376,balticsea
12,281257,8.507369993462753,balticsea
13,289247,8.48895649044747,balticsea
14,300217,8.462103929552612,balticsea
15,284121,8.45177967306583,balticsea
16,310100,8.41015225485928,balticsea
17,294788,8.364843477913535,balticsea
18,293835,8.358907235917979,balticsea
19,317519,8.344628746708258,balticsea
