,BGGId,Rating,reducedUsername
0,293981,9.837457266932512,Angryowll
1,285853,9.659004241436405,Angryowll
2,249277,9.610562512648489,Angryowll
3,336849,9.548470160279123,Angryowll
4,228370,9.543027638561453,Angryowll
5,33434,9.532157809625328,Angryowll
6,299566,9.510409002836475,Angryowll
7,289247,9.413536300152094,Angryowll
8,302312,9.407947245622651,Angryowll
9,228399,9.388494771416946,Angryowll
10,300217,9.32635597972264,Angryowll
11,317519,9.305910976634978,Angryowll
12,284121,9.298739968464181,Angryowll
13,317434,9.295680017839297,Angryowll
14,214296,9.290146071049792,Angryowll
15,21358,9.283011001362494,Angryowll
16,281257,9.264063272301847,Angryowll
17,173504,9.262365134079376,Angryowll
18,317030,9.24381594507946,Angryowll
19,236332,9.239259065693657,Angryowll
