,BGGId,Rating,reducedUsername
0,293981,8.993485984822172,airship51
1,249277,8.804941655502637,airship51
2,336849,8.751794381407942,airship51
3,285853,8.717219492641593,airship51
4,228399,8.694807895657714,airship51
5,228370,8.678534388567563,airship51
6,299566,8.653196292874593,airship51
7,302312,8.591475000588787,airship51
8,33434,8.55432240022344,airship51
9,284121,8.545968500707454,airship51
10,21358,8.499801977266324,airship51
11,317434,8.481630367455304,airship51
12,173504,8.480948956749177,airship51
13,214296,8.479106394987001,airship51
14,317519,8.472927243497816,airship51
15,289247,8.450746510310825,airship51
16,300217,8.43590664287057,airship51
17,281257,8.432006681882624,airship51
18,253607,8.423696127325472,airship51
19,310100,8.410374277836464,airship51
