,BGGId,Rating,reducedUsername
0,293981,8.793668375665828,airjim7
1,336849,8.643680316055125,airjim7
2,285853,8.532815117999235,airjim7
3,228370,8.503027396135636,airjim7
4,299566,8.501571355595955,airjim7
5,249277,8.455707081533047,airjim7
6,302312,8.409180192123387,airjim7
7,300217,8.390625562402036,airjim7
8,228399,8.372919003964778,airjim7
9,21358,8.314197679463978,airjim7
10,173504,8.313796797550319,airjim7
11,317434,8.262041058796962,airjim7
12,293835,8.249782219317131,airjim7
13,310100,8.212200280550524,airjim7
14,281257,8.208833488890198,airjim7
15,33434,8.207035721356057,airjim7
16,253607,8.192099016251802,airjim7
17,345976,8.18799992419336,airjim7
18,283474,8.17181994124165,airjim7
19,148213,8.169935449325756,airjim7
